"id_turma";"codigo_turma";"siape";"matricula_docente_externo";"observacao";"id_componente_curricular";"ch_dedicada_periodo";"nivel_ensino";"campus_turma";"local";"ano";"periodo";"data_inicio";"data_fim";"descricao_horario";"total_solicitacoes";"capacidade_aluno";"tipo";"distancia";"data_consolidacao";"agrupadora";"id_turma_agrupadora";"qtd_aulas_lancadas";"situacao_turma";"convenio";"modalidade_participantes"
"57573196";"01";"1627429";"";"";"18798";"45";"TÉCNICO";"";"Sala 18";"2016";"1";"2016/02/01 00:00:00.000";"2016/06/18 00:00:00.000";"3T456";"0";"3";"REGULAR";"false";"";"false";"";"";"EXCLUÍDA";"";"Presencial"
"57573197";"01";"1495638";"";"Prioridade: Alunos de Gravação";"18818";"60";"TÉCNICO";"";"LAMUCO";"2016";"1";"2016/02/01 00:00:00.000";"2016/06/18 00:00:00.000";"5T1234";"4";"7";"REGULAR";"false";"2016/06/06 07:14:01.686000000";"false";"";"54";"CONSOLIDADA";"";"Presencial"
"57573198";"01";"1087389";"";"";"18810";"30";"TÉCNICO";"";"Sala 24";"2016";"1";"2016/02/01 00:00:00.000";"2016/06/18 00:00:00.000";"6T56";"16";"40";"REGULAR";"false";"2016/06/17 14:04:52.179000000";"false";"";"26";"CONSOLIDADA";"";"Presencial"
"57573199";"01";"2250784";"";"";"18773";"30";"TÉCNICO";"";"Sala 23";"2016";"1";"2016/02/01 00:00:00.000";"2016/06/18 00:00:00.000";"3T34";"25";"16";"REGULAR";"false";"2016/06/23 14:45:15.367000000";"false";"";"22";"CONSOLIDADA";"";"Presencial"
"57573201";"02";"1734630";"";"";"18814";"60";"TÉCNICO";"";"Sala 23";"2016";"1";"2016/02/01 00:00:00.000";"2016/06/18 00:00:00.000";"2T1234";"";"50";"REGULAR";"false";"";"false";"";"";"EXCLUÍDA";"";"Presencial"
"57573202";"01";"2250784";"";"";"18760";"30";"TÉCNICO";"";"Sala 11";"2016";"1";"2016/02/01 00:00:00.000";"2016/06/18 00:00:00.000";"6T34";"16";"40";"REGULAR";"false";"2016/06/23 14:46:29.684000000";"false";"";"26";"CONSOLIDADA";"";"Presencial"
"57573203";"02";"2250784";"";"";"18760";"30";"TÉCNICO";"";"Sala 23";"2016";"1";"2016/02/01 00:00:00.000";"2016/06/18 00:00:00.000";"3T12";"30";"40";"REGULAR";"false";"2016/06/23 14:51:27.740000000";"false";"";"22";"CONSOLIDADA";"";"Presencial"
"57573204";"01";"1053303";"";"";"18812";"45";"TÉCNICO";"";"Sala 06";"2016";"1";"2016/02/01 00:00:00.000";"2016/06/18 00:00:00.000";"5T123";"2";"3";"REGULAR";"false";"2016/06/18 20:46:31.350000000";"false";"";"51";"CONSOLIDADA";"";"Presencial"
"57573205";"02";"346159";"";"";"18812";"45";"TÉCNICO";"";"Sala 06";"2016";"1";"2016/02/01 00:00:00.000";"2016/06/18 00:00:00.000";"2T456";"";"3";"REGULAR";"false";"";"false";"";"";"EXCLUÍDA";"";"Presencial"
"57573206";"03";"1177821";"";"";"18812";"45";"TÉCNICO";"";"Sala 05";"2016";"1";"2016/02/01 00:00:00.000";"2016/06/18 00:00:00.000";"3T123";"1";"3";"REGULAR";"false";"2016/06/20 21:25:59.886000000";"false";"";"57";"CONSOLIDADA";"";"Presencial"
