"id_curriculo";"codigo";"nome_matriz";"id_curso";"nome_curso";"semestre_conclusao_minimo";"semestre_conclusao_ideal";"semestre_conclusao_maximo";"meses_conclusao_minimo";"meses_conclusao_ideal";"meses_conclusao_maximo";"cr_total_minimo";"ch_total_minima";"ch_optativas_minima";"ch_complementar_minima";"max_eletivos";"ch_nao_atividade_obrigatoria";"cr_nao_atividade_obrigatorio";"ch_atividade_obrigatoria";"cr_minimo_semestre";"cr_ideal_semestre";"cr_maximo_semestre";"ch_minima_semestre";"ch_ideal_semestre";"ch_maxima_semestre";"periodo_entrada_vigor";"ano_entrada_vigor";"observacao"
"122650746";"GEO17M";"";"315731";"MESTRADO EM GEOGRAFIA";"12";"24";"24";"12";"24";"24";"24";"360";"270";"";"0";"90";"6";"0";"";"";"";"0";"";"";"1";"2017";""
"122651159";"GEO17D";"";"95953799";"DOUTORADO EM GEOGRAFIA";"24";"48";"48";"24";"48";"48";"32";"480";"330";"";"0";"150";"10";"0";"";"";"";"0";"";"";"1";"2017";""
"11935820";"01";"";"9300590";"MESTRADO EM PRODUÇÃO ANIMAL";"12";"24";"24";"12";"24";"24";"24";"360";"300";"";"240";"60";"4";"0";"1";"16";"32";"0";"";"";"1";"2009";""
"172223234";"01";"CIÊNCIAS E TECNOLOGIA - NATAL - MTN - BACHARELADO";"10320810";"CIÊNCIAS E TECNOLOGIA";"6";"6";"9";"";"";"";"150";"2400";"930";"120";"240";"1290";"150";"60";"";"";"";"";"";"480";"1";"2024";""
"139767893";"03";"QUÍMICA - NATAL - N - LICENCIATURA";"111635075";"QUÍMICA";"8";"10";"15";"";"";"";"155";"3255";"330";"200";"240";"2325";"155";"400";"";"";"";"30";"";"420";"1";"2020";""
"172224513";"03";"CIÊNCIAS E TECNOLOGIA - NATAL - MT - BACHARELADO";"10320810";"CIÊNCIAS E TECNOLOGIA";"6";"6";"9";"";"";"";"129";"2400";"396";"120";"240";"1884";"129";"0";"";"";"";"";"";"480";"1";"2024";""
"172223732";"03";"CIÊNCIAS E TECNOLOGIA - NATAL - MT - BACHARELADO";"10320810";"CIÊNCIAS E TECNOLOGIA";"6";"6";"9";"";"";"";"205";"2400";"324";"120";"240";"1956";"205";"0";"";"";"";"";"";"480";"1";"2024";""
"100758";"02";"HISTÓRIA - NATAL - M - BACHARELADO";"2000046";"HISTÓRIA";"8";"8";"12";"";"";"";"108";"2570";"480";"0";"240";"1620";"108";"470";"4";"20";"32";"60";"0";"0";"1";"2004";""
"114793595";"02";"ECOLOGIA - NATAL - MT - BACHARELADO";"2000121";"ECOLOGIA";"8";"8";"14";"";"";"";"137";"2845";"300";"145";"240";"2055";"137";"345";"8";"20";"36";"15";"";"0";"1";"2016";""
"165150229";"03A";"CIÊNCIAS BIOLÓGICAS - NATAL - N - LICENCIATURA";"111635035";"CIÊNCIAS BIOLÓGICAS";"10";"10";"14";"";"";"";"148";"3378";"360";"200";"240";"2418";"148";"400";"";"";"";"30";"";"340";"1";"2023";""
"505612070";"04A";"DIREITO - NATAL - M - BACHARELADO";"2000018";"DIREITO";"10";"10";"16";"";"";"";"180";"3700";"435";"200";"240";"2700";"180";"365";"4";"24";"26";"60";"";"0";"2";"2010";""
"139770293";"02";"QUÍMICA DO PETRÓLEO - NATAL - MT - BACHARELADO";"3156200";"QUÍMICA DO PETRÓLEO";"6";"8";"12";"";"";"";"175";"3285";"330";"170";"240";"2625";"175";"160";"";"";"";"10";"";"0";"1";"2020";""
"172246031";"03";"CIÊNCIAS E TECNOLOGIA - NATAL - N - BACHARELADO";"10320810";"CIÊNCIAS E TECNOLOGIA";"7";"7";"11";"";"";"";"150";"2400";"1200";"120";"240";"1080";"150";"0";"";"";"";"";"";"420";"1";"2024";""
"178828687";"05";"ENGENHARIA CIVIL - NATAL - MTN - FORMAÇÃO";"2000025";"ENGENHARIA CIVIL";"10";"10";"15";"";"";"";"150";"3885";"390";"195";"240";"3090";"150";"210";"";"";"";"";"";"500";"1";"2025";""
"179152793";"03";"ENGENHARIA AMBIENTAL - NATAL - MT - FORMAÇÃO";"85322571";"ENGENHARIA AMBIENTAL";"10";"10";"14";"";"";"";"281";"3950";"395";"200";"200";"3135";"281";"220";"";"";"";"";"";"600";"1";"2025";""
"172246750";"03";"CIÊNCIAS E TECNOLOGIA - NATAL - N - BACHARELADO";"10320810";"CIÊNCIAS E TECNOLOGIA";"7";"7";"11";"";"";"";"292";"2400";"240";"120";"240";"2040";"292";"0";"";"";"";"";"";"420";"1";"2024";""
"172226236";"03";"CIÊNCIAS E TECNOLOGIA - NATAL - MT - BACHARELADO";"10320810";"CIÊNCIAS E TECNOLOGIA";"6";"6";"9";"";"";"";"190";"2400";"240";"120";"240";"2040";"190";"0";"";"";"";"";"";"480";"1";"2024";""
"172245505";"03";"CIÊNCIAS E TECNOLOGIA - NATAL - N - BACHARELADO";"10320810";"CIÊNCIAS E TECNOLOGIA";"7";"7";"10";"";"";"";"190";"2400";"240";"120";"240";"2040";"190";"0";"";"";"";"";"";"420";"1";"2024";""
"172228576";"03";"CIÊNCIAS E TECNOLOGIA - NATAL - MTN - BACHARELADO";"10320810";"CIÊNCIAS E TECNOLOGIA";"6";"6";"9";"";"";"";"217";"2400";"270";"120";"240";"2010";"217";"0";"";"";"";"";"";"480";"1";"2024";""
"172229074";"03";"CIÊNCIAS E TECNOLOGIA - NATAL - N - BACHARELADO";"10320810";"CIÊNCIAS E TECNOLOGIA";"6";"6";"9";"";"";"";"200";"2400";"276";"120";"240";"2004";"200";"0";"";"";"";"";"";"420";"1";"2024";""
"172227985";"03";"CIÊNCIAS E TECNOLOGIA - NATAL - MT - BACHARELADO";"10320810";"CIÊNCIAS E TECNOLOGIA";"6";"6";"9";"";"";"";"172";"2400";"408";"120";"240";"1872";"172";"0";"";"";"";"";"";"480";"1";"2024";""
"505612071";"04A";"DIREITO - NATAL - N - BACHARELADO";"2000018";"DIREITO";"1";"11";"16";"";"";"";"180";"3700";"435";"200";"240";"2700";"180";"365";"4";"24";"26";"60";"";"0";"2";"2010";""
"139373432";"05";"GEOLOGIA - NATAL - MT - FORMAÇÃO";"2000045";"GEOLOGIA";"10";"10";"14";"";"";"";"148";"3924";"394";"390";"600";"2900";"148";"240";"";"";"";"120";"";"0";"1";"2020";""
"179185683";"02";"ENGENHARIA DE MATERIAIS - NATAL - MT - BACHARELADO";"2000027";"ENGENHARIA DE MATERIAIS";"10";"10";"15";"";"";"";"201";"3710";"480";"190";"120";"2790";"201";"250";"";"";"";"";"";"";"1";"2025";""
"164987641";"07";"MATEMÁTICA - NATAL - MT - LICENCIATURA";"111635066";"MATEMÁTICA";"10";"10";"12";"";"";"";"145";"3200";"420";"205";"180";"2175";"145";"400";"4";"22";"34";"60";"";"510";"1";"2023";""
