codigo_componente,nome_componente
LEM5002,LÍNGUA ALEMÃ II
ADM0068,ADMINISTRAÇÃO DE MATERIAIS E PATRIMÔNIO
ART0150,EXPRESSÃO CORPORAL II
ART0154,EXPRESSÃO VOCAL II
DCS0050,EPISTEMOLOGIA DAS CIÊNCIAS SOCIAIS
DPP0035,GESTÃO E INSTITUIÇÕES SOCIAIS
FIL0988,TOPICOS ESPECIAIS DE FILOSOFIA DA LINGUAGEM IV
LET0078,LITERATURA PORTUGUESA I
DEF0054,METODOLOGIA DO ATLETISMO
DEF0055,METODOLOGIA DA IOGA
ECT2305,PRÁTICA DE LEITURA EM INGLÊS
CIV0348,LEGISLACAO E SEGURANCA DO TRABALHO
DEF0071,METODOLOGIA DA NATACAO
MAT0318,CALCULO BASICO I
PSI7031,INTRODUÇÃO À PSICOPATOLOGIA
DPU0122,DIREITO PENAL V
ARQ0276,ARTE NA AMERICA PRE-COLOMBINA
COM0327,RADIODIFUSÃO NO BRASIL
HIS0095,HISTÓRIA DA POLÍTICA EXTERIOR DO BRASIL REPUBLICANO
DAN0024,"DIREITOS HUMANOS, DIVERSIDADE CULTURAL E RELAÇÕES ÉTNICO-RACIAIS"
DAN0026,ANTROPOLOGIA DO DIREITO
DEF0072,"LAZER, ANIMACAO E DESENVOLVIMENTO HUMANO"
COM0039,SEMIOTICA E ESTET.COMUNICACAO
FIS0601,INTRODUCAO A MECANICA
HIS0032,HISTORIA DA CULTURA
HIS0037,HISTORIA INDIGENA NO BRASIL
DTU1523,MARKETING TURÍSTICO
PAT0400,MEDICINA LEGAL
MUS3011,APRECIAÇÃO MUSICAL
DGN0106,TEORIA DAS MÍDIAS
DGN0104,METODOLOGIA DE PROJETO
DFS0203,COMPORTAMENTO ANIMAL
PSI7044,OS LUGARES DA CLÍNICA PSICOLÓGICA
PSI3056,PSICOLOGIA DAS EMERGÊNCIAS E DO DESASTRE
PSI3065,TÓPICOS EM PSICOLOGIA E EDUCAÇÃO III
DAN0022,ANTROPOLOGIA E O ESTUDO DAS RELAÇÕES ÉTNICO-RACIAIS
DDP0213,DIREITO PROCESSUAL CIVIL IV
DDP0127,SOCIOLOGIA JURÍDICA
DDP0214,DIREITO PROCESSUAL PENAL I
DDP0233,EXECUÇÃO PENAL
DDP0054,"INTRODUÇÃO À INDÚSTRIA DO PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS"
DDP0044,"LEGISLAÇÃO DA INDÚSTRIA DO PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS"
DDP0232,CRIMINOLOGIA
DDP0202,HERMENÊUTICA JURÍDICA E TEORIA DA ARGUMENTAÇÃO
DDP0210,DIREITO PROCESSUAL CIVIL I
DDP0211,DIREITO PROCESSUAL CIVIL II
DDP0212,DIREITO PROCESSUAL CIVIL III
DDP0126,DIREITO PROCESSUAL COLETIVO
DDP0116,FILOSOFIA DO DIREITO
DDP0136,ÉTICA E DIREITO
DDP0201,HISTÓRIA DO DIREITO
DDP0203,TEORIA GERAL DO PROCESSO
DDP0115,DIREITO PROCESSUAL DO TRABALHO
DDP0235,ÉTICA GERAL E PROFISSIONAL
LEM5004,ALEMÃO PARA FINS ACADÊMICOS I
ADM0518,SISTEMAS DE GESTAO DA QUALIDADE
DDP0215,DIREITO PROCESSUAL PENAL II
ART0173,CANTO PARA O ATOR I
DAT0130,CINEMA II
FIL0924,FILOSOFIA DA HISTORIA
FIL0967,TOPICOS ESPECIAIS DA FILOSOFIA POLITICA III
DDP0200,INTRODUÇÃO AO ESTUDO DO DIREITO
DDP0027,INSTITUICOES DO DIREITO PUBLICO E PRIVADO
ENF5005,ÉTICA E BIOÉTICA
DBG0002,BIOLOGIA CELULAR
DPR0038,DIREITO E LEGISLAÇÃO TRABALHISTA
HIS0080,HISTÓRIA SOCIAL DA FAMÍLIA NO BRASIL
DDP0046,"DIREITO AMBIENTAL E INDÚSTRIA DO PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS"
DDP0047,"DIREITO DO CONSUMIDOR E INDÚSTRIA DO PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS"
LEM2032,TÓPICOS AVANÇADOS EM LITERATURA DA LÍNGUA INGLESA I
EEN1017,EPIDEMIOLOGIA E VIGILÂNCIA EM SAÚDE
SSO0061,CAPITALISMO E QUESTAO SOCIAL
DPP0027,ATELIÊ DE GESTÃO DE POLÍTICAS PÚBLICAS II
FIL0914,TEORIA FILOSOFICA DO DIREITO I
DCS0041,SEMINARIO TEMATICO DE POLITICA I
DEB0705,ELETRÔNICA ANALÓGICA
LEM2016,FORMAS DRAMÁTICAS DA LÍNGUA INGLESA I
DCS0601,POLITICAS E PLANEJAMENTO NA SOCIEDADE CONTEMPORANEA
ART0181,TEATRO E CULTURA BRASILEIRA
QUI0250,QUIMICA ORGANICA BIOLOGICA BASICA
DPP0039,TÓPICOS ESPECIAIS X
DDA0008,LEGISLAÇÃO DE SEGURO E PREVIDÊNCIA
HIS0076,A IGREJA NA IDADE MÉDIA
HIS0079,CRÔNICAS DA CONQUISTA AMERICANA
ECL0036,EDUCAÇÃO AMBIENTAL
DAN0027,ANTROPOLOGIA DO CORPO
DDP0052,ARBITRAGEM E MEDIAÇÃO
DDP0048,"CONTRATOS E INDÚSTRIA DO PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS"
DDA0009,DINÂMICA DEMOGRÁFICA E POLÍTICAS SOCIAIS
DBQ0105,"MÓDULO CELULAR, MOLECULAR E MACROMOLECULAR"
DBF0042,ÉTICA E COMPROMISSO SOCIAL
DDP0006,TEORIAS DA JUSTIÇA
LEM7001,LÍNGUA INGLESA I (RI)
LEM5003,LÍNGUA ALEMÃ III
HIS0018,HISTORIA DO BRASIL REPUBLICA II
DPR0042,DIREITO AUTORAL E DA PROPRIEDADE INDUSTRIAL
LET0355,LINGUISTICA II
NUT0106,ASPECTOS SOCIO-ANTROPOLOGICOS DA ALIMENTAÇAO HUMANA
DGE0124,GEOGRAFIA DO RIO GRANDE DO NORTE
FIL0953,TOPICOS ESPECIAIS DA FILOSOFIA ANTIGA IV
FIL0015,FILOSOFIA E ARTE I
DMP0040,IMUNOLOGIA PARA NUTRIÇÃO
PRO0331,MATEMATICA FINANCEIRA
NUT0014,PROCESSOS DE TRABALHO EM NUTRIÇÃO I
LET0066,LITERATURA BRASILEIRA II
COM0167,FOTOGRAFIA
ART0201,JOGO E CENA II
ART0185,ATELIÊ DE DRAMATURGIA
ADM0078,LOGÍSTICA EMPRESARIAL
HIS0030,MUSEOLOGIA
HIS0039,HISTORIA URBANA
ADM0001,INTRODUCAO A ADMINISTRACAO
PSI7551,PISCOLOGIA DA INFANCIA E DA ADOLESCÊNCIA
ART0236,TECNICAS DE DANÇA II
LET0487,LÍNGUA BRASILEIRA DE SINAIS I
PSI7037,INTRODUÇÃO AO DESENVOLVIMENTO HUMANO
ENF0049,PRIMEIROS SOCORROS
DDP0049,"RESPONSABILIDADE CIVIL E INDÚSTRIA DO PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS"
DDP0053,"DIREITO TRIBUTÁRIO E INDÚSTRIA DO PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS"
ECT2512,FUNDAMENTOS DE PROPRIEDADE INTELECTUAL E TRANSFERÊNCIA DE TECNOLOGIA
LEM5007,LÍNGUA ALEMÃ IV
DPR0052,DIREITO EMPRESARIAL PARA ADMINISTRAÇÃO
DPR0053,DIREITO DO TRABALHO E DA SEGURIDADE SOCIAL PARA ADMINISTRAÇÃO
DDP0111,DIREITO E TECNOLOGIA DA INFORMAÇÃO
PSI0136,"PSICOLOGIA, GÊNERO E SEXUALIDADE"
IMD0018,PRÁTICAS DE LEITURA EM INGLÊS
DDP0114,INTRODUÇÃO AO DIREITO ALEMÃO
CON3101,CONTABILIDADE BASICA I
FPE5005,SEMINÁRIO DE PESQUISA I
LEM7002,LÍNGUA INGLESA II (RI)
LET0356,LINGUISTICA III
DGE0109,GEOGRAFIA DA POPULACAO
PSI0001,PSICOLOGIA I - GERAL
DEF0058,"LAZER, EDUCACAO E DESENVOLVIMENTO HUMANO"
COM0066,COMUNICAÇÃO PÚBLICA
ECO1101,INTRODUÇÃO A MACROECONOMIA
ART0208,ATUACAO II
COM0313,PUBLICIDADE ON-LINE
LET0568,LÍNGUA BRASILEIRA DE SINAIS - LIBRAS
DAT0101,EXPRESSAO VISUAL I
DGN0107,HISTÓRIA DO DESIGN E DA ARQUITETURA
DDA0002,INTRODUÇÃO AO SEGURO E PREVIDÊNCIA
ADM0533,TOPICOS ESPECIAIS II
LEM2018,FORMAS NARRATIVAS LONGAS DE LÍNGUA INGLESA II
PSI3032,TÓPICOS EM PSICOLOGIA E SAÚDE III
DDP0130,FUNDAMENTOS SOBRE PETRÓLEO E GÁS
ADM0422,MATEMATICA FINANCEIRA
DPR0043,DIREITO DIGITAL
DPP0097,METODOLOGIA E TÉCNICAS DE PESQUISA
DPP0102,SOCIEDADE E POLÍTICAS PÚBLICAS
DDP0010,DIREITO PRIVADO ALEMÃO
DDP0012,TEORIA DA RAZÃO PÚBLICA
COM0285,"DIREITOS HUMANOS, DIVERSIDADE CULTURAL E RELAÇÕES ÉTNICO-RACIAIS"
DPP0109,ÉTICA NA GESTÃO DE POLÍTICAS PÚBLICAS
ART0152,EXPRESSÃO CORPORAL IV
LEM2021,INGLÊS PARA FINS ACADÊMICOS II
FIL0212,TEORIA DO CONHECIMENTO
DCS0227,TOPICOS TEORICOS DE POLITICA I
IMD1003,GEOMETRIA EUCLIDIANA
IMD1002,ANÁLISE COMBINATÓRIA
COM0219,PROGRAMAÇÃO PARA MÍDIAS INTERATIVAS
DSC0098,"ESTADO, POLÍTICAS PÚBLICAS E SISTEMAS DE SAÚDE"
ART0207,ATUACAO I
ECO1108,ECONOMIA CLASSICA
DAT0114,HISTORIA DAS ARTES III
DCS0047,SEMINARIO TEMATICO DE SOCIOLOGIA III
LEM4038,ESPANHOL PARA FINS ACADÊMICOS I
LET0082,TOPICOS DE LITERATURA PORTUGUESA II
ICE1033,COMUNICAÇÃO CIENTÍFICA
DFS0219,ESTUDOS AVANÇADOS EM COMPORTAMENTO ANIMAL
MAT1502,FUNDAMENTOS DE GEOMETRIA I
COM0245,LINGUAGEM AUDIOVISUAL
LET0580,CLÁSSICOS DA LITERATURA GRECO-LATINA
DPP0093,GESTÃO PARTICIPATIVA
DPP0095,GOVERNO E POLÍTICAS PÚBLICAS COMPARADAS
DPP0089,"ESTADO, GOVERNO E SOCIEDADE CIVIL"
DDP0011,DIREITO PÚBLICO ALEMÃO
DDP0013,CRIMINOLOGIA E JUSTIÇA RESTAURATIVA
DPU0062,DIREITO CONSTITUCIONAL IV
SSO0071,"ETICA, DIREITOS HUMANOS E QUALIDADE DE VIDA"
PEC2000,DIDÁTICA
FIL0023,LABORATÓRIO DE LÓGICA E TEORIA DO CONHECIMENTO
LET0065,LITERATURA BRASILEIRA I
COM0197,TRILHA SONORA
DAT0143,REDACAO CRIATIVA
DEF0600,ATIVIDADES RITMICAS E EXPRESSIVAS
DGE0085,GEOGRAFIA DO NORDESTE
MGO0009,COMPETENCIA CULTURAL NA ATENÇÃO A SAUDE DA MULHER QUILOMBOLA
DPP0086,DEMOCRACIA E PARTICIPAÇÃO NA GESTÃO PÚBLICA
DPP0094,GOVERNANÇA E INSTRUMENTOS DE GESTÃO PÚBLICA
DPP0096,INTRODUÇÃO ÀS POLÍTICAS PÚBLICAS
ART0118,A MÁSCARA COMO PEDAGOGIA DO CORPO
APS1003,"PODER, POLÍTICA E GESTÃO"
APS1004,RESPONSABILIDADE SOCIOAMBIENTAL
APS1007,GESTÃO DE ORGANIZAÇÕES DA SOCIEDADE CIVIL
LET0570,TEORIA DA NARRATIVA
ISH0029,SOCIOLOGIA E ANTROPOLOGIA GERAL
LET0586,INTRODUÇÃO AO LATIM
FPE5025,SEMINÁRIO DE PESQUISA III
FIL0905,TOP.ESP.DA FILOSOFIA DA CULTURA I
FIL0016,FILOSOFIA E ARTE II
DEF0038,METODOLOGIAS RECREATIVAS
DGN0305,PROGRAMAÇÃO VISUAL E MÍDIAS INFORMÁTICAS II
COM0164,ÉTICA E LEGISLAÇÃO DO AUDIOVISUAL
MUS0091,PERCEPÇÃO MUSICAL I
ECT2532,PRÁTICAS DE LEITURA E ESCRITA DE GÊNEROS ACADÊMICOS EM INGLÊS
ECT2306,MEIO AMBIENTE E DESENVOLVIMENTO URBANO
ECT2206,"GESTÃO E ECONOMIA DA CIÊNCIA, TECNOLOGIA E INOVAÇÃO"
ECO2554,ECONOMIA DO MEIO AMBIENTE
DPP0092,GESTÃO PÚBLICA NO BRASIL CONTEMPORÂNEO
DPP0103,TÓPICOS ESPECIAIS I
DDA0309,DEMOGRAFIA E POLÍTICAS PÚBLICAS
DSC0143,ESPAÇO INTEGRATIVO I
CCA0103,QUÍMICA GERAL
FIL0994,TOPICOS ESPECIAIS DE TEORIA DO CONHECIMENTO V
DCS0230,ESTADO E POLITICAS PUBLICAS
DPP0091,GESTÃO MUNICIPAL E METROPOLITANA
FIL6605,HISTÓRIA DA FILOSOFIA I
FIL6967,TOPICOS ESPECIAIS DA FILOSOFIA POLITICA III
CON4302,METODOLOGIA DA PESQUISA EM CONTABILIDADE
LET0569,TEORIA DO POEMA
LEM4019,LITERATURA HISPÂNICA DE EXPRESSÃO FEMININA
MUS7077,INTRODUÇÃO À MÚSICA E TECNOLOGIA
MUS7005,FUNDAMENTOS DA EDUCAÇÃO MUSICAL
MAT1504,TUTORIA I
DGE0053,INTRODUCAO A GEOGRAFIA
ARQ0271,ASSISTÊNCIA TÉCNICA A HABITAÇÃO DE INTERESSE SOCIAL
ISH0003,INTERNET E MUNDIALIZAÇÃO DA CULTURA
LET0446,LITERATURA BRASILEIRA III
LET0782,LEITURA E PRODUÇÃO DE TEXTOS
MUS3501,INTRODUÇÃO À METODOLOGIA CIENTÍFICA
LEM3062,"TÓPICOS ESPECIAIS EM LÍNGUA, LITERATURA E CULTURA FRANCESA"
LET0578,LEITURA E PRODUÇÃO DE TEXTO ACADÊMICO I
DCS0043,SEMINARIO TEMATICO DE POLITICA III
FIS0750,ASTRONOMIA
COM0314,PUBLICIDADE E CIDADANIA
ECL0013,ECONOMIA ECOLOGICA
LEM2013,ASPECTOS SEMÂNTICOS DA LÍNGUA INGLESA
DDP0014,DIREITO E LITERATURA
ISH0007,ANÁLISES E AVALIAÇÃO DE POLÍTICAS PÚBLICAS
LEM2002,OFICINA DE LEITURA E PRODUÇÃO ESCRITA EM LÍNGUA INGLESA I
ISH0015,SEMINÁRIO TEMÁTICO
DPR0058,SEMINÁRIO DE FORMAÇÃO DO PESQUISADOR
ADM0134,OFICINA DE PROJETO I
ENF6002,ATIVIDADE INTERATIVA INTERDISCIPLINAR III: EPIDEMIOLOGIA E SAÚDE AMBIENTAL
LET0598,LITERATURA PORTUGUESA: ERAS MEDIEVAL E CLÁSSICA
DGE0059,CARTOGRAFIA GERAL
ESU1006,METODOLOGIA DA PESQUISA I
FON0041,INTRODUÇÃO À FONOAUDIOLOGIA
LEM2017,LINGUÍSTICA APLICADA E ENSINO DE LÍNGUA INGLESA I
CIV0401,INTRODUÇÃO À ENGENHARIA CIVIL
DGE0204,FORMACAO ECONOMICA E TERRITORIAL DO BRASIL
MDM0052,ATENÇÃO À SAÚDE DA POPULAÇÃO LGBT
DGE0069,GEOGRAFIA POLITICA
DOL0057,EXTENSAO COMUNITARIA E EDUCACAO AMBIENTAL
COM0134,METODOLOGIA DO TRABALHO CIENTIFICO
MUS0031,FISIOLOGIA DA VOZ
MDM0078,"USO, ABUSO E DEPENDÊNCIA DE SUBSTÂNCIAS: TERAPÊUTICA E REDUÇÃO DE DANOS"
LEM2041,FORMAS NARRATIVAS LONGAS DE LÍNGUA INGLESA I
DPP0076,TÓPICOS ESPECIAIS XVI
LEM2049,LITERATURA AFRO-AMERICANA
DGN0140,DESIGN SUSTENTAVEL
DEH0049,SEMINARIO DE HISTORIA DA AMERICA LATINA I
ADM0510,MERCADO FINANCEIRO
BEZ0061,BOTÂNICA APLICADA AO PAISAGISMO
COM0001,TEORIA DA COMUNICACAO I
DAN0306,ANTROPOLOGIA DO CORPO E DA SAÚDE
MAT1521,TÓPICOS DE HISTÓRIA DA MATEMÁTICA
HIS0048,"CULTURA VISUAL, HISTÓRIA E IMAGEM"
HIS0090,O SISTEMA ESCRAVISTA NO SÉCULO XIX
COM0601,CULTURA BRASILEIRA
DBG0052,BIOLOGIA CELULAR PARA ECOLOGIA
COM0230,"COMUNICAÇÃO, DIREITOS HUMANOS E POLÍTICAS PÚBLICAS"
COM0303,LINGUAGEM PUBLICITARIA
LET0649,GREGO CLÁSSICO I
SSO0048,DIREITOS HUMANOS E DIVERSIDADE HUMANA
LET0575,FUNDAMENTOS DOS ESTUDOS LINGUÍSTICOS
DPP0104,TÓPICOS ESPECIAIS II
LEM4050,ESTUDOS DE LÍNGUA ESPANHOLA I
LEM3036,LÍNGUA FRANCESA I INTRODUÇÃO AO ESTUDO DE LÍNGUA FRANCESA
SSO0137,CLASSES E MOVIMENTOS SOCIAIS
ART0124,CENOTEC VII - INTRODUÇÃO AO TEATRO DAS FORMAS ANIMADAS
DPU0061,DIREITO CONSTITUCIONAL III
CCA0403,LÍNGUA ESPANHOLA 1
APS1005,GESTÃO DE EMPREENDIMENTOS ECONÔMICOS SOLIDÁRIOS
FIL6036,MULHERES E FILOSOFIA
NUT1019,ASPECTOS SOCIOANTROPOLÓGICOS DA ALIMENTAÇÃO
FIL0986,TOPICOS ESPECIAIS DE FILOSOFIA DA LINGUAGEM II
FIL0029,TEORIAS DA DEMOCRACIA
DEF0039,"TOPICOS ESPECIAIS EM EDUCACAO FISICA, ESPORTES E LAZER"
LET0615,LITERATURA BRASILEIRA: DAS ORIGENS AO ROMANTISMO
CON0127,CONTABILIDADE E ANALISE DE BALANCO
DEH0010,HISTORIA ECONOMICA GERAL
ECT2103,CÁLCULO I
DPR0015,DIREITO INTERNACIONAL PRIVADO
ADM0542,GESTAO DE PESSOAS II
DAN0134,CULTURA BRASILEIRA
CON4102,CONTABILIDADE BÁSICA II
ICE1036,NEUROCIÊNCIA COGNITIVA
IMD0504,"RELAÇÕES ENTRE COMUNICAÇÃO, MÍDIA E EDUCAÇÃO"
MGO0915,SAUDE REPRODUTIVA
LET0623,TÓPICOS EM NARRATIVA BRASILEIRA
SSO0119,"FEMINISMO, GÊNERO E PATRIARCADO"
LET0587,LEITURA E PRODUÇÃO DE TEXTO ARGUMENTATIVO
DPP0087,DESENVOLVIMENTO E POLÍTICAS PÚBLICAS NO BRASIL E NO RIO GRANDE DO NORTE
MUS7022,APRECIAÇÃO MUSICAL
DPR0056,DIREITO INTERNACIONAL DO TRABALHO
DAT0238,PINTURA I
ISH0023,SEMINÁRIO TEMÁTICO II
MUS0900,BEM-ESTAR E DESENVOLVIMENTO PESSOAL
LEM1015,LITERATURA INFANTIL FRANCESA
DCS0404,TEORIA POLITICA III
IMD1306,GESTÃO DE PROJETOS E METODOLOGIAS ÁGEIS
DMP1141,ENTOMOLOGIA GERAL MÓDULO TEÓRICO
DMI0047,MEDICINA DE URGÊNCIA - TRAUMA CLÍNICO E CIRÚRGICO TEÓRICO
LET0616,"LITERATURA BRASILEIRA  REALISMO, NATURALISMO E PARNASIANISMO"
DPR0055,DIREITO E LEGISLAÇÃO SOCIAL
DEF0032,METODOLOGIA DA GINASTICA
ECT2102,VETORES E GEOMETRIA ANALÍTICA
DEH0056,SEMINARIO DE HISTORIA MODERNA E CONTEMPORANEA III
DBF0030,FUNDAMENTOS DA ACUPUNTURA
DCS0049,POLÍTICA LATINO-AMERICANA
ECT1507,RELAÇÕES DE GÊNERO EM CIÊNCIAS E TECNOLOGIA
ICE1041,ENDOCRINOLOGIA COMPORTAMENTAL
COM0280,OFICINA DE REDAÇÃO CRIATIVA
IMD0017,PRÁTICAS DE LEITURA E ESCRITA EM PORTUGUÊS I
DPP0099,ORGANIZAÇÕES SOCIAIS NA GESTÃO DE POLÍTICAS PÚBLICAS
CON0015,INTRODUÇÃO À AUDITORIA PÚBLICA E GOVERNAMENTAL
ART0112,PRÁTICAS VOCAIS II
HIS0004,HISTORIOGRAFIA BRASILEIRA
HIS0042,HISTORIA MEDIEVAL I
APS1001,FUNDAMENTOS DA ADMINISTRAÇÃO PÚBLICA
DTU2055,TURISMO DE EVENTOS
DAT0239,TEORIA DAS CORES
DAT0210,ILUSTRAÇÃO DIGITAL
FIL6701,ESTÉTICA FILOSÓFICA
MUS1001,PRATICA DE INSTRUMENTO HARMONICO I
LET0617,"LITERATURA BRASILEIRA  SIMBOLISMO, PRÉ-MODERNISMO, PRIMEIRA E SEGUNDA GERAÇÕES MODERNISTAS"
COM0224,COMUNICAÇÃO INTEGRADA
DGN0304,PROGRAMAÇÃO VISUAL E MÍDIAS INFORMÁTICAS I
PRO1301,ECONOMIA PARA ENGENHARIA DE PRODUÇÃO
COM0147,PRODUCAO EM VIDEO
CON4602,ORÇAMENTO PÚBLICO
HIS0059,"HISTÓRIA, MEMÓRIA, LITERATURA"
PSI0114,TÓPICOS EM PSICOLOGIA E EDUCAÇÃO I
COM0202,HISTÓRIA E TEORIAS DA COMUNICAÇÃO
DPP0077,AGENDA CONTEMPORÂNEA I
DPP0090,VIVÊNCIAS PÚBLICAS DE EXTENSÃO UNIVERSITÁRIA
LEM4054,CULTURA HISPÂNICA
DAT0221,IMAGEM E MÍDIAS I
SSO0143,QUESTÃO AGRÁRIA E URBANA NO BRASIL
HST3601,HISTÓRIA MODERNA II
HST3603,HISTÓRIA DO RIO GRANDE DO NORTE NA COLÔNIA E NO IMPÉRIO
COM0266,INTRODUÇÃO À FOTOGRAFIA
ART0271,METODOLOGIA DO TRABALHO CIENTÍFICO
DBQ0104,PROCESSOS BIOQUÍMICOS VITAIS
MOR0057,ANATOMIA PARA ENFERMAGEM
FPE0681,FUNDAMENTOS DA PSICOLOGIA EDUCACIONAL
ISH0014,HUMANIDADES E LITERATURA
DBG0071,BIOLOGIA E ECOLOGIA
DPU0064,DIREITO DIGITAL PÚBLICO
ECO0051,DIREITOS HUMANOS E AS DESIGUALDADES
DDP0015,DIREITO AMBIENTAL ALEMÃO
FPE2003,LÍNGUA BRASILEIRA DE SINAIS - LIBRAS
DBG0091,ÉTICA NA PESQUISA COM SERES HUMANOS
PRO1302,MATEMÁTICA FINANCEIRA
LEM2015,FORMAS POÉTICAS DE LÍNGUA INGLESA II
ADM0103,DESENVOLVIMENTO GERENCIAL E INTERPESSOAL
DDA0304,ESTATÍSTICA APLICADA À GESTÃO DE POLÍTICAS PÚBLICAS
DTU2023,GESTÃO PÚBLICA DO TURISMO
COM0228,COMUNICAÇÃO POLÍTICA
COM0260,ANÁLISE DO DISCURSO DA MÍDIA
DEF0111,METODOLOGIA DOS ESPORTES DE REDE E PAREDE
FPE2011,POLÍTICAS PÚBLICAS DA EDUCAÇÃO
HST4703,HISTÓRIA DO BRASIL REPÚBLICA I
HST3502,HISTÓRIA DO BRASIL COLÔNIA
FPE0684,POLÍTICAS PÚBLICAS E GESTÃO DA EDUCAÇÃO
MUS7011,ELABORAÇÃO DE PROJETOS CULTURAIS
ART0270,HISTÓRIA DA DANÇA NO BRASIL
FIL6611,HISTÓRIA DA FILOSOFIA III
SSO0134,TEORIA POLÍTICA E SERVIÇO SOCIAL
ISH0401,RELIGIÃO NO MUNDO HOJE
ISH0011,"VULNERABILIDADES SOCIAIS, CONFLITOS E VIOLÊNCIA"
APS1049,TEMAS EMERGENTES EM GESTÃO E POLÍTICAS PÚBLICAS
CIN0045,DIREITO E INFORMAÇÃO
MUS7045,CANTO CORAL I
LET0628,ESTUDOS COMPARADOS DE LITERATURAS DE LÍNGUA PORTUGUESA
ARQ0516,ESTETICA E HISTORIA DAS ARTES 01
ART0269,IMPROVISAÇÃO
LEM2036,TÓPICOS AVANÇADOS EM LITERATURA DA LÍNGUA INGLESA II
PSI7553,INFÂNCIA E ADOLESCÊNCIA NO CONTEXTO DA EDUCAÇÃO
HIS0074,O MUNDO BIZANTINO: HISTÓRIA E HISTORIOGRAFIA
MOR0086,EMBRIOLOGIA HUMANA PARA O CURSO DE NUTRIÇÃO
ECO0312,ECONOMIA PARA ADMINISTRACAO
DFS0055,EVOLUÇÃO DO COMPORTAMENTO HUMANO II
MOR0095,EMBRIOLOGIA APLICADA À FISIOTERAPIA
HST2203,HISTÓRIA ANTIGA II
HST2201,ARQUEOLOGIA PRÉ-HISTÓRICA
FIL6613,HISTÓRIA DA FILOSOFIA IV
IMD1301,EMPREENDEDORISMO E FORMAÇÃO EMPREENDEDORA
MOR0014,ANATOMIA HUMANA
APS1045,TÉCNICAS DE PESQUISA I  ESTUDOS QUALITATIVOS
ICE1052,NEUROCIÊNCIA DA VIDA
APS1043,INDICADORES NA ADMINISTRAÇÃO PÚBLICA
PEC0201,PERSPECTIVAS DECOLONIAIS PARA O ENSINO DE CIÊNCIAS
COM0271,METODOLOGIA E PESQUISA EM COMUNICAÇÃO
PSI0146,FEMINISMOS E PSICOLOGIA
LEM1026,LITERATURA AFRICANA DE LÍNGUA INGLESA
MUS7083,PRÁTICA DE INSTRUMENTO HARMÔNICO  PIANO I
DPU0066,DIREITO DO PATRIMÔNIO CULTURAL
MOR0069,EMBRIOLOGIA E HISTOLOGIA PARA O ENSINO DE CIENCIAS E BIOLOGIA
PSI0089,PSICOLOGIA APLICADA AO TURISMO
ADM0064,COMPORTAMENTO ORGANIZACIONAL
HIS0101,"HISTÓRIA, CATOLICISMO E POLÍTICA NO BRASIL REPUBLICANO"
LEM2055,LITERATURA IRLANDESA
HST1102,HISTORIOGRAFIA BRASILEIRA
MUS7004,MÚSICA POPULAR BRASILEIRA SÉCS XX/XXI
DIM0123,PENSAMENTO COMPUTACIONAL
LET0629,LITERATURA AFRICANA EM LÍNGUA PORTUGUESA - ANGOLA
FIL6103,LOGICA
FIL6928,FILOSOFIA NO BRASIL
FIL6933,TÓPICOS ESPECIAIS DE ÉTICA IV
SSO0120,"FORMAÇÃO SOCIAL, ECONÔMICA E POLÍTICA DO BRASIL E DO NORDESTE"
ISH0602,"HISTÓRIA, CULTURA E RELAÇÕES ÉTNICO-RACIAIS NO BRASIL"
APS1058,COMUNICAÇÃO E EXPRESSÃO PARA GESTORES PÚBLICOS
ISH0302,CIVILIZAÇÃO E DESAFIOS DOS PROBLEMAS GLOBAIS
SSO0132,SEMINÁRIO TEMÁTICO SOBRE FAMÍLIAS NA CONTEMPORANEIDADE
ART0200,JOGO E CENA I
MUS7101,PRÁTICA DE BANDA DE METAIS E PERCUSSÃO I
FIL6030,FUNDAMENTOS DE FILOSOFIA
DEF0077,CAPOEIRA
CIN3004,FONTES DE INFORMAÇÃO
DDP0157,DIREITO DA ENERGIA
COM0208,COMUNICAÇÃO E ARTES VISUAIS
LET0594,SINTAXE DA LÍNGUA PORTUGUESA: PERSPECTIVA TRADICIONAL
FPE2012,FUNDAMENTOS DA HISTÓRIA E DA FILOSOFIA DA EDUCAÇÃO
DPP0108,GESTÃO E INSTITUIÇÕES SOCIAIS
HST4901,HISTÓRIA CONTEMPORÂNEA II
FIL6031,TEORIAS DA JUSTIÇA
NUT1055,TÓPICOS EM POLÍTICAS PÚBLICAS DE ALIMENTAÇÃO
PSI7041,INTRODUÇÃO AOS PROCESSOS DE AVALIAÇÃO PSICOLÓGICA
ISH0301,ESTUDOS PÓS-COLONIAIS
APS1015,"FILOSOFIA, ÉTICA E CIDADANIA"
APS1020,FINANÇAS PÚBLICAS
APS1021,DIVERSIDADE E DESIGUALDADES
