codigo_componente,nome_componente
DPP0025,GESTÃO PÚBLICA NO BRASIL CONTEMPORÂNEO
DPP0021,AGENDA CONTEMPORÂNEA II
FIL0605,HISTORIA DA FILOSOFIA I
DCS0325,SOCIOLOGIA RURAL I
DPU0137,NOÇÕES DE DIREITO ADMINISTRATIVO E TRIBUTÁRIO
LET0047,LINGUA LATINA I
LET0196,FUNDAMENTOS DA LITERATURA OCIDENTAL I
DEF0650,"ATIVIDADE FISICA, SAUDE E QUALIDADE DE VIDA"
DEF0651,"ATIVIDADE FISICA, LAZER E CULTURA"
MUS0408,MUSICA BRASILEIRA II
FIL0004,METODOLOGIA DA CIÊNCIA
FIL0008,FILOSOFIA APLICADA A SERVICO SOCIAL
FIL0001,FILOSOFIA I
MUS0409,MUSICA POPULAR BRASILEIRA I
COM0504,MÍDIA DIGITAL
CIN0039,METODOLOGIA DA PESQUISA II
DCS0005,CIENCIA POLITICA I
ECO1102,INTRODUÇÃO A MICROECONOMIA
CIN0038,METODOLOGIA DA PESQUISA I
DPR0122,DIREITO IMOBILIARIO
DEF0152,CULTURA POPULAR
PSI7084,PERSPECTIVAS ATUAIS DA PSICOLOGIA
PSI3049,TÓPICOS DE PSICOLOGIA COGNITIVA
DEH0019,HISTORIA DA ARTE I
DPU0030,LEGISLACAO TRIBUTARIA
DPU0130,DIR.TRIBUTARIO E INDUSTRIA DO PETROLEO E GAS
DCS0243,TEORIA POLITICA I
DPR0129,CONTRATO E INDUSTRIA DO PETROLEO E GAS NATURAL
DPR0035,DIREITO INTERNACIONAL PRIVADO
DPU0227,DIREITO FINANCEIRO E FINANÇAS
DPP0016,"TRANSFORMAÇÕES ECONÔMICAS, POLÍTICAS E SOCIAIS NO BRASIL"
ECT1560,FUNDAMENTOS EM DESENVOLVIMENTO SUSTENTÁVEL
EDE0200,LÍNGUA BRASILEIRA DE SINAIS - LIBRAS
DPP0013,ESTADO E SOCIEDADE
DPP0032,ESTADO DE DIREITO E CIDADANIA
DPP0033,SISTEMAS ELEITORAIS E PARTIDÁRIOS
DPP0034,PARTIDOS POLÍTICOS E ELEIÇÕES NO BRASIL
DPP0056,TÓPICOS ESPECIAIS VII
LEM4002,LEITURA E PRODUÇÃO ESCRITA EM LÍNGUA ESPANHOLA I
DPR3217,ANÁLISE DE CASOS CONCRETOS I
DPR3307,ANÁLISE DE CASOS CONCRETOS II
